username,comment,comment_cleansing,predict_label
@afriyantoulayya4162,"['enggak', 'nanggung', 'bikin', 'rugi', 'negara']",enggak nanggung bikin rugi negara,Negatif
@trisubardjo1094,"['layak', 'koruptor', 'hukum', 'mati', 'sita', 'aset', 'kaya', 'diimiskinkan']",layak koruptor hukum mati sita aset kaya diimiskinkan,Negatif
@firmanabdullah28,"['valley', 'of', 'the', 'dammed', 'dragon', 'force']",valley of the dammed dragon force,Negatif
@alamsaor6497,"['malu', 'orang', 'batak', 'marga', 'siahaan']",malu orang batak marga siahaan,Negatif
@johncena-od5qn,"['maju', 'mundur', 'loh']",maju mundur loh,Negatif
@yanzz5941,"['negeri', 'konoha', 'enggak', 'negara', 'caca', 'ruca', 'enggak', 'maju', 'rakyat', 'korban', 'kah', 'bantu', 'negara', 'olah', 'china']",negeri konoha enggak negara caca ruca enggak maju rakyat korban kah bantu negara olah china,Negatif
@NnNn-b4t,"['periode', 'cofid', 'korupsi', 'miskin', 'hukum', 'mati']",periode cofid korupsi miskin hukum mati,Negatif
@kamidimanamana,"['bagus', 'kayak', 'hukum', 'rimba']",bagus kayak hukum rimba,Negatif
@yohanneswijaya3068,"['korupsi', 'hukum', 'mati']",korupsi hukum mati,Negatif
@yohanneswijaya3068,"['jabat', 'hama']",jabat hama,Negatif
@erwinsitompul1130,"['t', 't', 'harga', 'pesawat', 'f', 'f', 'milik', 'indonesi', 'astaga', 'negara']",t t harga pesawat f f milik indonesi astaga negara,Netral
@taraisa184,"['selidik', 'akar', 'pandai', 'jahat', 'sakit', 'masyarakat', 'guna', 'rugi']",selidik akar pandai jahat sakit masyarakat guna rugi,Negatif
@yanuareffendi6216,"['hukum', 'mati', 'koruptor', 'biar', 'jera']",hukum mati koruptor biar jera,Negatif
@bramwisnu8182,"['kayak', 'raya']",kayak raya,Negatif
@parbada9490,"['duga', 'korupsi', 'kutu', 'kupret', 'lu', 'zaman', 'tau', 'bilang', 'lu', 'kerja', 'suruh', 'kutu', 'kupret', 'lu', 'jagung', 'lu', 'bangkai']",duga korupsi kutu kupret lu zaman tau bilang lu kerja suruh kutu kupret lu jagung lu bangkai,Negatif
@SadraHotco,"['muka', 'maling']",muka maling,Negatif
@SadraHotco,"['muka', 'maling', 'enggak', 'tutup', 'masker']",muka maling enggak tutup masker,Negatif
@jhondoe4526,"['cek', 'ptpn']",cek ptpn,Netral
@muslimefendi9307,"['rugi', 'negara', 'rugi', 'konsument', 'konsument', 'dampak', 'rugi']",rugi negara rugi konsument konsument dampak rugi,Negatif
@MuhammadNasir-kt6gy,"['hukum', 'mati', 'gaji', 'ku', 'bulan', 'juta', 'korup', 'bnyknya']",hukum mati gaji ku bulan juta korup bnyknya,Negatif
@arindrafebrian5297,"['lembut', 'pakaiin', 'rompi', 'borgol', 'keplak', 'kepala']",lembut pakaiin rompi borgol keplak kepala,Negatif
@YusufYusuf-bn5vo,"['minyak', 'mentah', 'ilegal', 'jual', 'pertamina', 'aceh', 'timur']",minyak mentah ilegal jual pertamina aceh timur,Negatif
@StRbhtn-th5zc,"['pertamina', 'rugi', 'tobat', 'tobat', 'kembali', 'uang', 'negara']",pertamina rugi tobat tobat kembali uang negara,Negatif
@MuhtadinArshaka,"['korupsi', 'korupsi', 'bejat', 'jabat', 'negara', 'masyarakat', 'korban']",korupsi korupsi bejat jabat negara masyarakat korban,Negatif
@StRbhtn-th5zc,"['busuk', 'pastibtercium', 'iakan', 'biar', 'vhukuman', 'ringan', 'cafe']",busuk pastibtercium iakan biar vhukuman ringan cafe,Positif
@StRbhtn-th5zc,"['bebas', 'korop', 'indonesia', 'enak', 'rakyat', 'makan', 'uang', 'haram', 'tagih', 'agama', 'tagih', 'deh']",bebas korop indonesia enak rakyat makan uang haram tagih agama tagih deh,Positif
@officialrecord117,"['puasa', 'baju']",puasa baju,Positif
@Conancoo-q8g,"['enggak', 'seret']",enggak seret,Negatif
@ahmadjvc1191,"['koruptor', 'hukum', 'mati']",koruptor hukum mati,Negatif
@fitrimerdeKha,"['bagus', 'rakus', 'hukum', 'berat', 'china', 'koruptor', 'rugi', 'negara', 'hukum', 'mati', 'rencana', 'coba', 'korupsi', 'pikir']",bagus rakus hukum berat china koruptor rugi negara hukum mati rencana coba korupsi pikir,Positif
@FarsiSyahputra,"['indonesia', 'hukum', 'penjara', 'ubah', 'coba', 'terap', 'hukum', 'mati', 'korupsi', 'indonesia', 'aman', 'masyarakat', 'sejahtera']",indonesia hukum penjara ubah coba terap hukum mati korupsi indonesia aman masyarakat sejahtera,Negatif
@ridone21,"['sita', 'aset', 'hukum', 'mati']",sita aset hukum mati,Negatif
@Juang048,"['bosan', 'kuping', 'dengar', 'korupsi', 'dengar', 'hukum', 'mati', 'koruptor']",bosan kuping dengar korupsi dengar hukum mati koruptor,Negatif
@EvaangelEva-ev8fm,"['koruptor', 'enggak', 'takut', 'enggak', 'hukum', 'mati', 'raja', 'hukum', 'koruptor', 'hukum', 'mati', 'takut']",koruptor enggak takut enggak hukum mati raja hukum koruptor hukum mati takut,Negatif
@tistop.2102,"['isi', 'shell', 'antri', 'coba', 'vivo', 'pertamina', 'ngeri', 'enggak', 'pertamax', 'benar']",isi shell antri coba vivo pertamina ngeri enggak pertamax benar,Negatif
@romanusloka9357,"['isi', 'pertamax', 'eh', 'tau', 'pertlite', 'fersi', 'pro']",isi pertamax eh tau pertlite fersi pro,Negatif
@BintangSyafa-m6m,"['enggak', 'otak', 'orang', 'susah', 'abai', 'hukum']",enggak otak orang susah abai hukum,Negatif
@panoramafishing1948,"['mohon', 'miskin']",mohon miskin,Netral
@suryadiningratsuryadi6643,"['bravo', 'jagung', 'prabowo']",bravo jagung prabowo,Negatif
@ardiprayoga6349,"['penjara', 'kntl']",penjara kntl,Negatif
@mukminmustari3119,"['jabat', 'negeri']",jabat negeri,Positif
@n.kurniawan9027,"['hukum', 'indonesia', 'lemah', 'hukum', 'rakyat', 'koruptor', 'foya', 'hasil', 'curi', 'bayar', 'orang', 'lapas', 'suap', 'hukum', 'mati', 'hukum', 'potong', 'tangan', 'kaki', 'jera']",hukum indonesia lemah hukum rakyat koruptor foya hasil curi bayar orang lapas suap hukum mati hukum potong tangan kaki jera,Negatif
@_-.879,['malu'],malu,Negatif
@manscah1759,"['duga', 'enggak', 'tuh', 'habis', 'keliahatan', 'kendara', 'rusak', 'gara', 'bahan', 'bakar', 'salah']",duga enggak tuh habis keliahatan kendara rusak gara bahan bakar salah,Negatif
@NurhayatiNurhayati-pg5jq,"['ayo', 'kejakgung', 'miskinin', 'koruptor']",ayo kejakgung miskinin koruptor,Negatif
@mbel6810,"['hukum', 'penggal', 'ndasnya', 'ditugel', 'tugel']",hukum penggal ndasnya ditugel tugel,Negatif
@toyansu5572,"['mmbunuh', 'langsung', 'manusia', 'bapak', 'presiden', 'ekskusi', 'manusia', 'mrugikan', 'slruh', 'rkyt', 'indonsia']",mmbunuh langsung manusia bapak presiden ekskusi manusia mrugikan slruh rkyt indonsia,Negatif
@StRbhtn-th5zc,"['sikorop', 'pertamina', 'main', 'kurup', 'makaya', 'kayak']",sikorop pertamina main kurup makaya kayak,Negatif
@toyansu5572,"['peeintah', 'bapak', 'presiden', 'mmbunuh', 'langsung', 'manusia', 'berani', 'bapak', 'presiden', 'pengkorup', 'setan', 'berani', 'mlkukanya', 'negeri']",peeintah bapak presiden mmbunuh langsung manusia berani bapak presiden korup setan berani mlkukanya negeri,Negatif
@StRbhtn-th5zc,"['orang', 'pertaminabini', 'kayak', 'enggak', 'tanding', 'dunia', 'harta', 'dunia', 'kdasian', 'rakyat', 'tobat', 'korop']",orang pertaminabini kayak enggak tanding dunia harta dunia kdasian rakyat tobat korop,Negatif
@ovitimor2168,"['kacau', 'negara', 'ri', 'miskin', 'korupsi']",kacau negara ri miskin korupsi,Negatif
@toyansu5572,"['koruptor', 'setan', 'wujud', 'manusia', 'hukumanya', 'ringan', 'pncuri', 'kayu', 'bakar', 'ayam', 'tuju', 'mmbntainya', 'setan', 'pngkorup', 'negeri']",koruptor setan wujud manusia hukumanya ringan pncuri kayu bakar ayam tuju mmbntainya setan pngkorup negeri,Negatif
@StRbhtn-th5zc,"['korop', 'enggak', 'takutvtakut', 'enggak', 'tanggung', 'kanvenak', 'kerja', 'ringan', 'uang', 'ha']",korop enggak takutvtakut enggak tanggung kanvenak kerja ringan uang ha,Negatif
@Chusen-rj4wk,"['simak', 'pertamina', 'ladang', 'korupsi', 'mimpi']",simak pertamina ladang korupsi mimpi,Negatif
@rahmawaty8277,"['manusia', 'rakus', 'gaji', 'langit']",manusia rakus gaji langit,Positif
@indojaya1026,"['duga', 'korupsi', 'nepu', 'rakyat', 'juta', 'orang', 'kasih', 'buaya', 'setan', 'iblis', 'jahat']",duga korupsi nepu rakyat juta orang kasih buaya setan iblis jahat,Negatif
@AmaliaMojangCianjur,"['pertamina', 'operasi plastik', 'campur', 'air', 'keras', 'siramin', 'muka', 'koruptor']",pertamina operasi plastik campur air keras siramin muka koruptor,Negatif
@FlavianaSitompul,"['untung', 'marga', 'ahaan']",untung marga ahaan,Negatif
@jaslienebo9213,"['kalo', 'korut', 'maling', 'eksekusi', 'metong', 'syukur', 'kalean', 'indonesia', 'hukum', 'tindak', 'korupsi', 'enggak', 'bikin', 'koruptor', 'miskin', 'penjara', 'tahun', 'sel', 'vip']",kalo korut maling eksekusi metong syukur kalean indonesia hukum tindak korupsi enggak bikin koruptor miskin penjara tahun sel vip,Negatif
@suartasinuhaji-yk1sy,"['korupsi', 'rajalela', 'jabat', 'harap', 'ads', 'indonesia', 'emas', 'indonesia', 'lemass']",korupsi rajalela jabat harap ads indonesia emas indonesia lemass,Negatif
@MeliaWati-p8x,"['manusia', 'serakah', 'selery', 'besar', 'kenyang', 'duit', 'haram', 'neraka', 'jahat', 'besar', 'koruptor']",manusia serakah selery besar kenyang duit haram neraka jahat besar koruptor,Negatif
@kucing_2023,"['babi', 'rakus']",babi rakus,Negatif
@baygath87,"['negara', 'rugi', 'masyarakat', 'rugi', 'jancok', 'tikus', 'pertamina']",negara rugi masyarakat rugi jancok tikus pertamina,Negatif
@kerupukbasah991,"['awas', 'statement', 'putus', 'sopan', 'tulang', 'punggung', 'keluarga', 'anak', 'tangis', 'sidang', 'kasihan', 'wkwk']",awas statement putus sopan tulang punggung keluarga anak tangis sidang kasihan wkwk,Negatif
@imamsubechi1664,"['amem', 'alias', 'buntu', 'jabat', 'libat', 'pilih', 'pimpin', 'takut', 'dosa', 'joget', 'gemoy', 'omon', 'rasa', 'akibat', 'rakyat', 'bayar', 'pajak', 'naik']",amem alias buntu jabat libat pilih pimpin takut dosa joget gemoy omon rasa akibat rakyat bayar pajak naik,Positif
@MuhammadFachri-i3z,"['rugi', 'negara', 'rugi', 'rakyat']",rugi negara rugi rakyat,Negatif
@Xxxliis,"['penjara', 'enak', 'ac', 'kasur', 'hukum', 'mati', 'berani', 'enggak']",penjara enak ac kasur hukum mati berani enggak,Negatif
@hdy777,"['biadab', 'gelar', 'kertas', 'hewan', 'kasi', 'amanah', 'kapasitas', 'ujung', 'ujung', 'korup']",biadab gelar kertas hewan kasi amanah kapasitas ujung ujung korup,Negatif
@NurJanah-st6ek,"['hsrus', 'hukum', 'mati', 'biar', 'jera', 'hukumanya', 'enak', 'biar', 'kapok', 'jabat', 'koropsi', 'xoba', 'jabat', 'periksa', 'ketang', 'kap']",hsrus hukum mati biar jera hukumanya enak biar kapok jabat koropsi xoba jabat periksa ketang kap,Negatif
@ibra_mnc10,"['vonis', 'salah', 'masuk', 'penjara', 'tak', 'penjara', 'bo', 'ong', 'bo', 'ong', 'beli', 'jasil', 'korup', 'saangat', 'buuanyak']",vonis salah masuk penjara tak penjara bo ong bo ong beli jasil korup saangat buuanyak,Negatif
@PurnamaHermawansyah-s6w,"['gaji', 'gede', 'tunjang', 'pintar', 'hati', 'orang', 'buat', 'penuh', 'nafsu', 'serakah']",gaji gede tunjang pintar hati orang buat penuh nafsu serakah,Positif
@TaufanTamimi-dc7zv,"['ayok', 'indonesia', 'ku', 'bangkit', 'lawan', 'korupsi', 'rakyat', 'muak', 'korupsi', 'indonesia', 'trimakasih', 'presiden', 'ri', 'bapak', 'prabowo']",ayok indonesia ku bangkit lawan korupsi rakyat muak korupsi indonesia trimakasih presiden ri bapak prabowo,Positif
@AdellaMaulanaJakariaUINMataram,"['korupsi', 'otak', 'pimpin', 'bangsa', 'mental', 'korup', 'darurat', 'korupsi', 'bapak', 'prabowo', 'sahkan', 'hukum', 'mati', 'cepat', 'dpr', 'sarang', 'korupsi']",korupsi otak pimpin bangsa mental korup darurat korupsi bapak prabowo sahkan hukum mati cepat dpr sarang korupsi,Negatif
@BOOOGI_,"['bocah', 'marukk', 'kampreett', 'enggak', 'tau', 'malu']",bocah marukk kampreett enggak tau malu,Negatif
@Cutkamar,"['heran', 'enggak', 'kenyang', 'korupsi', 'miskin', 'sita', 'aset', 'penjarakn', 'penjara', 'kayak', 'kamar', 'hotel', 'kasih', 'efek', 'jera', 'biar', 'enggak ada', 'lge', 'orang', 'korup']",heran enggak kenyang korupsi miskin sita aset penjarakn penjara kayak kamar hotel kasih efek jera biar enggak ada lge orang korup,Negatif
@WitoTriono,"['layak', 'hukum', 'mati', 'terap']",layak hukum mati terap,Negatif
@moniralbeerrr3789,"['mending', 'uu', 'anti', 'korupsi', 'arti', 'korupsi', 'hukum', 'umur', 'hidup', 'capai', 'korupsi', 't', 'hukum', 'mati', 'sah', 'wakil', 'rakyat', 'senayan', 'koruptor', 'jera', 'enggak', 'tawar', 'tawar', 'hukum', 'hukum', 'umur', 'hidup', 'mati']",mending uu anti korupsi arti korupsi hukum umur hidup capai korupsi t hukum mati sah wakil rakyat senayan koruptor jera enggak tawar tawar hukum hukum umur hidup mati,Negatif
@awanalamsjah2617,"['masyarakat', 'tuntut', 'rugi', 'pertamina']",masyarakat tuntut rugi pertamina,Negatif
@GIONTAJAYA,"['korupsi', 'orang', 'pintar', 'lulus', 'baik', 'bumn', 'tolong', 'cek', 'petinggi', 'bumn', 'harta', 'limpah']",korupsi orang pintar lulus baik bumn tolong cek petinggi bumn harta limpah,Negatif
@astraotong131,"['era', 'presidenya']",era presidenya,Netral
@ArmanManik-zr5zf,"['koruptor', 'korea', 'utra', 'hukum', 'mati', 'tonton', 'keluarga', 'hukum', 'mati', 'harta', 'sita', 'negara', 'efek', 'jera', 'jabat', 'coba', 'berani', 'korupsi', 'sayang', 'negara', 'konoha', 'jabat', 'mental', 'korupsi', 'enggak', 'puas', 'gaji']",koruptor korea utra hukum mati tonton keluarga hukum mati harta sita negara efek jera jabat coba berani korupsi sayang negara konoha jabat mental korupsi enggak puas gaji,Negatif
@erdiansyah1990,"['ahok', 'periksa']",ahok periksa,Negatif
@ayahayumichanel6901,"['cekokin', 'petralite']",cekokin petralite,Negatif
@Samiri-q4m,"['hukum', 'pices', 'gantung', 'monas', 'orang', 'enggak', 'kasihan', 'uang', 'negara', 'grogoti', 'palau', 'megara']",hukum pices gantung monas orang enggak kasihan uang negara grogoti palau megara,Negatif
@technocompiDangawai,"['elnusa', 'petrofin', 'distributor', 'bbm', 'pertamina', 'cek', 'bapak', 'kpk', 'anak', 'pertamina', 'elnusa', 'tbk']",elnusa petrofin distributor bbm pertamina cek bapak kpk anak pertamina elnusa tbk,Positif
@donys6882,"['hajar', 'muka', 'penjara']",hajar muka penjara,Negatif
@RaniRa-y2z,"['santai', 'enggak', 'salah']",santai enggak salah,Negatif
@Ramm0822,"['negara', 'sakit', 'tinggal', 'tunggu', 'hancur']",negara sakit tinggal tunggu hancur,Positif
@imayaazmi7903,"['indonesia', 'bisnis', 'rugi', 'manusia', 'hobi', 'korup', 'masuk', 'ngandelin', 'pajak', 'rakyat']",indonesia bisnis rugi manusia hobi korup masuk ngandelin pajak rakyat,Positif
@NewwynnKaraokelongue,"['koruptor', 'buta', 'mata', 'hati', 'jabat', 'uang', 'gelap', 'mata']",koruptor buta mata hati jabat uang gelap mata,Negatif
@dhimassuwarsono4614,"['hukum', 'mati']",hukum mati,Negatif
@sakutrem9313,"['bumn', 'lambang', 'barang', 'buruk']",bumn lambang barang buruk,Negatif
@listener1069,"['calon', 'bahan', 'bakar', 'neraka', 'langsung', 'hukum', 'mati', 'orang', 'enggak', 'tau', 'gaji', 'gede', 'serakah', 'korupsi', 'pe', 'a']",calon bahan bakar neraka langsung hukum mati orang enggak tau gaji gede serakah korupsi pe a,Negatif
@KeylraFarhanaAmalia,"['musim', 'liga', 'korupsi', 'indonesia', 'club', 'point', 'pt', 'timah', 't', 'pertamina', 't', 'bank', 'indonesia', 'tt', 'pt', 'dutapalma', 't', 'tppi', 't', 'asabri', 't', 'pt', 'jiwasraya', 't', 'pt', 'musim', 't', 'garuda', 'indonesia', 't', 'kominfo', 't']",musim liga korupsi indonesia club point pt timah t pertamina t bank indonesia tt pt dutapalma t tppi t asabri t pt jiwasraya t pt musim t garuda indonesia t kominfo t,Positif
@nurshodiq5479,"['kurupsi', 'hukum', 'bera']",kurupsi hukum bera,Negatif
@apipabdul8432,"['hukum', 'mat', 'tawar', 'tawar']",hukum mat tawar tawar,Negatif
@achmadfajrin4358,"['musnah', 'manusia', 'serakah']",musnah manusia serakah,Negatif
@arsyroomchannel2084,"['besar', 'kuak', 'pimpin', 'pimpin', 'berani', 'manantang', 'korupsi', 'insyaalloh', 'kalo', 'kuak', 'indonesia', 'sejahtera']",besar kuak pimpin pimpin berani manantang korupsi insyaalloh kalo kuak indonesia sejahtera,Positif
@M.FarisabdillahAbdillah,"['hukum', 'mati']",hukum mati,Negatif
@atatgj7229,"['harap', 'indonesia', 'maju', 'kalo', 'enggak', 'hukum', 'mati', 'koruptor', 'kabur', 'negara', 'kayak', 'kalo', 'indonesia', 'negara', 'miskin']",harap indonesia maju kalo enggak hukum mati koruptor kabur negara kayak kalo indonesia negara miskin,Negatif
@akhmadroshif04,"['korupsi', 'an', 'nk', 't', 'uang', 'nol', 'miskin', 'miskin', 'kayak', 'kayak', 'hormat', 'tolong', 'presiden', 'masyarakat', 'indonesia', 'bantu', 'lapang', 'kerja']",korupsi an nk t uang nol miskin miskin kayak kayak hormat tolong presiden masyarakat indonesia bantu lapang kerja,Positif
@utukutuk282,"['hukum', 'mati', 'rampok']",hukum mati rampok,Negatif
@arifrahmansabrina5444,"['tipu', 'bin', 'bohong', 'pertamina', 'mayoritas', 'isix', 'mafia']",tipu bin bohong pertamina mayoritas isix mafia,Negatif
@pennaproject9319,['goblok'],goblok,Negatif
@superal9,"['enggak', 'sangka', 'kroni', 'riza', 'chalid', 'tangkap']",enggak sangka kroni riza chalid tangkap,Negatif
@eroneliza9660,"['gaji', 'fantastik', 'korupsi', 'fantastik', 'gaji', 'bumn', 'kementerina', 'uang', 'bap', 'gaji', 'besar', 'korupsi', 'hilang']",gaji fantastik korupsi fantastik gaji bumn ina uang bap gaji besar korupsi hilang,Negatif
@bambangwidoyoko3312,"['tinggal', 'cari', 'acara', 'pintar', 'lobi']",tinggal cari acara pintar lobi,Positif
@bolobolobabywear,['paraahh'],paraahh,Negatif
@littlekyla,"['hukum', 'mati', 'tuju']",hukum mati tuju,Negatif
@indira3190,"['santai', 'broo', 'tangkap', 'aman', 'broo', 'indonesia', 'surga', 'koruptor', 'aman', 'intansi', 'perangkat', 'negara', 'instrumen', 'broo', 'aman', 'broo']",santai broo tangkap aman broo indonesia surga koruptor aman intansi perangkat negara instrumen broo aman broo,Positif
@eroneliza9660,"['rampas', 'aset', 'sembunyi', 'ayo', 'cepat', 'sitah', 'aset', 'tutup', 'rugi', 'negara']",rampas aset sembunyi ayo cepat sitah aset tutup rugi negara,Positif
@LiAni-ks3ic,"['hukum', 'mati']",hukum mati,Negatif
@Muhammadqosim-cp7pe,"['bakar', 'hidup', 'beress', 'tuju', 'uu']",bakar hidup beress tuju uu,Positif
@asalusulcantik,"['arti', 'rompi', 'pink', 'pakai']",arti rompi pink pakai,Positif
@akunkopi6977,"['t', 'rugi', 'jalan', 'tinggal', 'kali', 'hukum', 'mati']",t rugi jalan tinggal kali hukum mati,Negatif
@keluargakecil6020,"['indonesia', 'surga', 'ahli', 'praktek', 'korupsi', 'cuci', 'uang']",indonesia surga ahli praktek korupsi cuci uang,Negatif
@jumratih8686,['hukum'],hukum,Negatif
@Orang.Semalam,"['jaman', 'bapak', 'fufufafa', 'ngeri', 'jahat']",jaman bapak fufufafa ngeri jahat,Negatif
@jabalnur369,"['kabar', 'perintah', 'prabowo', 'sa', 'atnya', 'indonesia', 'bersih', 'berdih', 'srgala', 'jenis', 'koruptor', 'sa', 'atnya', 'hukum', 'mati', 'laku', 'kalo', 'indonedia', 'emas']",kabar perintah prabowo sa atnya indonesia bersih berdih srgala jenis koruptor sa atnya hukum mati laku kalo indonedia emas,Negatif
@PendekarPlungHaup,"['hukum', 'bakar', 'pertamax', 'korupsi', 'sesuai', 'total', 'korupsi', 'tolong', 'hakim', 'tuntut', 'hukum']",hukum bakar pertamax korupsi sesuai total korupsi tolong hakim tuntut hukum,Negatif
@BusroBusro-i8h,"['teri', 'ditangkepin', 'kakap', 'asoy', 'bebas', 'renang']",teri ditangkepin kakap asoy bebas renang,Negatif
@aldinoromadona6113,"['korupsi', 't', 'vonis', 'korupsi', 't', 'vonis', 'korupsi', 't', 'vonis', 'korupsi', 't', 'vonis', 'korupsi', 't', 'vonis', 'korupsi', 't', 'vonis', 'bebas', 'motto', 'indonesia', 'maju', 'kalo', 'hukum', 'kuasa', 'pola', 'fikir', 'model']",korupsi t vonis korupsi t vonis korupsi t vonis korupsi t vonis korupsi t vonis korupsi t vonis bebas motto indonesia maju kalo hukum kuasa pola fikir model,Negatif
@nonasyahrina4439,"['sumpah', 'gumun', 'orang', 'gaji', 'gede', 'kerja', 'enak', 'kuraang', 'korupsi', 'heraan']",sumpah gumun orang gaji gede kerja enak kuraang korupsi heraan,Negatif
@OMzam_02,"['pln', 'buka']",pln buka,Netral
@umar2157,"['boikot', 'pertamina']",boikot pertamina,Negatif
@cavi6523,"['pertamx', 'pertalite', 'harga', 'maximal', 'non', 'subsidi']",pertamx pertalite harga maximal non subsidi,Negatif
@footballgogo,"['koruptor', 'hukum', 'mati']",koruptor hukum mati,Negatif
@ITDivisi,"['awas', 'korupsi', 'berjamasaah', 'kontrol']",awas korupsi berjamasaah kontrol,Negatif
@__andywijaya,"['tangkap', 'tuju', 'beli', 'minyak', 'impor', 'hasil', 'enggak', 'tinjau', 'lapang', 'blok']",tangkap tuju beli minyak impor hasil enggak tinjau lapang blok,Netral
@MelvinRamadhan-z7y2r,"['rakyat', 'miskin']",rakyat miskin,Negatif
@APM7,"['bapak', 'internal', 'auditor', 'enggak', 'tau', 'piye', 'jall']",bapak internal auditor enggak tau piye jall,Negatif
@ismawatiismavirgonita,"['hukum', 'mati']",hukum mati,Negatif
@asrianggun,"['duit', 'gaji', 'pertamina', 'gede', 'lu', 'sakit', 'hati', 'rakyat', 'nggembosin', 'uang', 'rakyat', 'ngoplos', 'pertamax']",duit gaji pertamina gede lu sakit hati rakyat nggembosin uang rakyat ngoplos pertamax,Negatif
@achongmoreno4594,"['oh', 'tampang', 'tampan', 'mamusia', 'sampah']",oh tampang tampan mamusia sampah,Negatif
@RedianaGultom,['parah'],parah,Negatif
@JohnJohn-cj9kd,"['telanjangin', 'arak', 'keliling', 'kota', 'punggung', 'dada', 'tempel', 'merek', 'koruptor', 'pertamina']",telanjangin arak keliling kota punggung dada tempel merek koruptor pertamina,Negatif
@ghaniiagy-i1w,"['aduh', 'tenang', 'koruptor', 'kalo', 'tangkap', 'mending', 'serahin', 'rakyat', 'biar', 'rakyat', 'kasih', 'hukum']",aduh tenang koruptor kalo tangkap mending serahin rakyat biar rakyat kasih hukum,Positif
@Ngabagamming,"['mamposs', 'anjenk', 'bodat', 'pukimaak', 'duga', 'ku', 'pom', 'bensin', 'ngisis', 'dbkin', 'baris', 'jalur', 'motor', 'pertalite', 'jalur', 'al', 'hasil', 'tunggu', 'macet', 'enggak', 'isi', 'pertamax', 'deh', 'benak', 'tebesit', 'kurang', 'jatah', 'pertalite', 'enggak', 'langsung', 'pom', 'bensin', 'mengharuskn', 'isi', 'pertamax', 'akan', 'enggak', 'beres', 'pertamax', 'hasil', 'anak', 'lepehan', 'anjenk', 'tahu', 'korupsi', 'cacat', 'umur', 'hidup', 'anak', 'generasi', 'lu', 'bngsaat']",mamposs anjenk bodat pukimaak duga ku pom bensin ngisis dbkin baris jalur motor pertalite jalur al hasil tunggu macet enggak isi pertamax deh benak tebesit kurang jatah pertalite enggak langsung pom bensin mengharuskn isi pertamax akan enggak beres pertamax hasil anak lepehan anjenk tahu korupsi cacat umur hidup anak generasi lu bngsaat,Negatif
@suhartinihar2455,"['orang', 'rakus', 'tamak', 'enggak', 'syukur', 'uang', 'mati', 'enggak', 'bawa', 'enggak', 'kerja', 'usut', 'tuntas']",orang rakus tamak enggak syukur uang mati enggak bawa enggak kerja usut tuntas,Negatif
@DedenSomantri-kh3jl,"['koruptor', 'pertamina', 'manusia', 'babi', 'hukum', 'mati', 'geram']",koruptor pertamina manusia babi hukum mati geram,Negatif
@DediSantoso-kf1el,"['sopan', 'tegak', 'hukum', 'hadap', 'koruptor', 'negeri', 'rakyat', 'curi', 'sepele', 'perlakuanya', 'beda']",sopan tegak hukum hadap koruptor negeri rakyat curi sepele perlakuanya beda,Negatif
@pakcung,"['manusia', 'jijik']",manusia jijik,Negatif
@AjunAdi-b1z,"['sampah', 'negara']",sampah negara,Negatif
@amrihwasono5698,"['apa', 'maling', 'kasih', 'masker']",apa maling kasih masker,Negatif
@rahmindra22,"['telkom', 'korupsi', 'enggak', 'biaya', 'tagih', 'besar', 'biaya', 'wifi', 'kantor']",telkom korupsi enggak biaya tagih besar biaya wifi kantor,Negatif
@hastaBuana,"['tipu', 'jancok']",tipu jancok,Negatif
@EliyananEly,"['pertamina', 'rugi', 'pln', 'cek', 'teriak', 'rugi']",pertamina rugi pln cek teriak rugi,Negatif
@Ucokrental-u3w,"['harap', 'indonesia', 'maju', 'undang', 'koruptor', 'libat', 'hukum', 'mati', 'minimal', 'miskin', 'bui', 'modar']",harap indonesia maju undang koruptor libat hukum mati minimal miskin bui modar,Negatif
@FhandiSaputro,"['night', 'ride', 'diri', 'bantai', 'jabat', 'korup', 'tunggu', 'depan', 'babat', 'habis', 'koruptor', 'hingga', 'akar', 'akar']",night ride diri bantai jabat korup tunggu depan babat habis koruptor hingga akar akar,Negatif
@YudiFerdinal-q1k,"['baik', 'hukum', 'sangka', 'korupsi', 'negeri', 'konoha', 'miskin', 'turun', 'turun', 'sangka']",baik hukum sangka korupsi negeri konoha miskin turun turun sangka,Negatif
@tukangserabutanindonesia88,"['biar', 'pakai', 'masker']",biar pakai masker,Positif
@YudiFerdinal-q1k,"['prabowo', 'nih']",prabowo nih,Negatif
@djay77-w9n,"['sadar', 'petinggi', 'negara', 'perintah', 'akhlak', 'buas', 'binatang', 'buas', 'ajar', 'agama', 'sekolah', 'negara', 'enggak', 'malu', 'pagar', 'laut', 'rempang', 'morowali', 'enggak', 'kasihan', 'rakyat', 'omon']",sadar petinggi negara perintah akhlak buas binatang buas ajar agama sekolah negara enggak malu pagar laut rempang morowali enggak kasihan rakyat omon,Negatif
@kotamagelang6655,"['hukum', 'ringan', 'enggak', 'kapok', 'korupsi']",hukum ringan enggak kapok korupsi,Negatif
