username,comment
@irvanabimanyuabimanyu5935,sampai begini ttp aja dpr pura buta pura tuli takut senjata makan tuan untuk memiskinkan menghukum mati pejabat korup bukan begitu sudara yang terhormat dpr
@kangbnjl2577,paling penjara bulan abis bulan penjara keluar jalan luar negeri dan menikmati hasil hidup mewah
@nuryahaneswijayajoehanes7811,mafia koruptor adalah musuh nyata dan pembangkang bagi nkri mereka harus di hukum mati dan mayatnya di gantung di monas biadab
@niaandriyani3575,padahal semua produk bumn kebanyakan laku keras dipasaran kaya pertamina pln garuda indonesia dll tapi ko didengernya rugi terus gaji udah besar masih aja serakahnya melebihi setan gua rasa setan juga geleng kali ngeliat kelakuan manusia zaman sekarang hukumannya harus serius jadi gada lagi koruptor dinegara ini
@DrShay777,wah inilah konoha jawir semua nya mau di pungli di korupsi di palak smpai kapan ga akan maju
@ilhama7645,kpk kemana aja jaksa agung mulu yang gerak sampah lah k
@SyawalAulia-nk7ru,pantes pertamina selalu rugi
@alifahshabrina9953,periksa komisaris pertamina ahok basuki cahya purnama tahun ko sampai gak tau anak buah nya korupsi
@anakkampungan4973,paling lama tahun penjara hukumannya ini indonesia ini
@HURIWARDAHNIHAYATI,tampang maling generasi milinial tambah mengerikan motif operandinya semakin canggih semakin brutal
@elsyeahmadahmadandalas5884,usir saja semua bangsa yaman perusak negara dan bangsa indonesia anies sarita bahar lutfi yahya dirut pertamina semua gx tau malu kerjaan nya nipu maling pembohong perhatikan semua jual agama penipu semua deportasi mohon pak presiden jendral prabowo assegaf sama yaman juga sudah numpang di negara orang maling pula
@ah_channel007,negara dirugikan negara dirugikan negara dirugikan sekian triliun apa lupa itu yg membeli minyak siapa rakyat sangat dirugikan bro beli pertamax tapi rasa pertalite selama tahun itu yg perlu kalian hitung juga jangan sekarang masih beredar minyak hasil sulap para bedebah pertamina itu
@abangmo8814,koruptor masuk penjara gak masalah apa kabar perampasan aset
@Dasini06-bg8uq,tidak hanya bahan bakar nya oli mesin pertamina juga ikutan menurun kualitasnya pilih merk lain misal motul dah cocok nyaman
@NurdingGedug,enak korupsi di indonesia hukuman nya lemah
@nurhadiatma7594,bkan negara yg rugi bos tapi masyarakat yg di tipu tentang produk
@Masfery_007,kim jong un ngakak melihat ini
@MUFXD,stop tutupin bandit pake masker
@Jhonois,masih gak percaya kalau dia bakalan di penjara percaya deh itu korupsi segitu masih sepele saya yakin masih banyak di atasnya itu yang ribuan t
@Wleee28,jelema garoblok hukum mati untuk para koruptor
@melisayanti2026,pk tolong d hukum mati pak tolong berpihk sm kita rakyat kecil pak
@dewandesa-r3q,brimob polri tidak berani lagi kepung kejagung krn ada perlindungan dari tni kepada kejaksaan agung
@IkhaSholekha,bisa gk sih hukuman mati buat para korupsi biar kasih efek jera
@ibu083,apbn defisit sementara bumn uangnya dikorupsi rame luarbiasa keterlaluan
@gairahadam5304,mantapz ini yang paling di tunggu
@belajarinternet7134,kerugian negara karena resiko bisnis tdk bisa dipidana kasus ka sebelumnya juga kasus resiko bisnis dan ka tdk bersalah yg hrs dibuktikan adalah apakah ada gratifikasi dan sop yg dilanggar
@dodolliprett,yusuf kala panik
@kuntardi4072,sabar bu allah swt tidak tidur
@ekosusilo7828,dimiskinkan
@pintaulindapintaulinda245,karen muslimah ya saya pikir kristen karna dulu waktu menjabat gak pernah pakai kerudung
@Win_1003,lagu lama tetap abadi pake hijab kalo jadi tersangka koruptor ha
@markuslolo,coba tebak berapa tahun mereka ini akan di penjara a satu tahun b satu tahun dua bulan c satu tahun dan dipotong masa tahanan lima bulan d tidak di penjara karena bersikap sopan saat sidang e tidak di penjara karena bapak ini masih punya anak kecil yang masih bayi
@rezapasha510,uang negara buk
@marvaabyu197,masak terus cheff
@muhammadoktario6433,apakah dex oplos solar jg
@waras7788,uda ibu nyanyi kan yg merdu dan siapa yg ikut bermain
@ceritahanturikko3070,saya mewakili rakyat minta di hukum mati titik tanpa koma ga pake lama sekarang juga
@gairahadam5304,setelah ini nunggu kasus sumberwaras yang sudah mulai lapuk di malam jamur jangan sampai hilang itu kasus
@Bening000,indonesia darurat koruptor diberbagai lini pemerintahan sudah biasa ada permainan korupsi sudah sepatutnya dpr buat uu hukuman mati utk koruptor di indonesia
@riskirido3967,naikan gaji kata sigemoy mau setinggi apapun anda naikan gaji kalau otak korupsi gak merubah keadaan yang benar itu tegak kan hukum bila perlu hukum mati tersangka korupsi dan miskin kan mereka
@abrarekawijayaabrarekawija3801,baju koruptor kebagusan goobllook suruh pakek goni aja terus jangan pakai boorgol pakek aja pasung gablok bodoh segitu banyak yang dia curi terlalu baiikk pencurii sepeda motor aja digebukkin kalau udah terbukti serahin ke masyarakat kita picis aja pakek hukuman zaman dulu
@HalimNasution-c9i,oh ala dasar maling buat rakyat indonesia aj jadi miskin gaya elit ternyata uang koropsi
@nursidik5754,hukum matii semua koruptor maka ga ada koruptor lagi di indonesia
@duan7843,selama hukum mati belum berlaku korupsi makin merajalela
@Saika5140,teruskan memasaknya
@duomastergamer3632,alamak bro benar terjun ke dasar jurang
@novialwan8108,tetap sejahtera dan aman klo yg berbuat jahat banyak duit
@MeRealDreamer,ini yang thn lalu presiden prabowo mengatakan bocor satu persatu bocor itu keliatan
@antonsarwono4035,lagi musim para koruptor tertangkap semoga nggak musiman ya
@adibaadiba6931,inil h yg menyebabkan raky t kecil sengs ra
@raendraviegantara5251,omong kosong
@Atya1717,semua dugaanku benar dan terbukti saya pernah mengatakan kalau di tubuh pertamina dan semua bumn lainnya terjadi korupsi besar besaran dan terbukti kann saya juga pernah komentar kalau di bank indonesia yakin ada korupsi b sar besaran dan terbukti juga kann dan saya yakin ada korupsi besar besaran di semua kementrian
@hendrasurya140,satu kata buat para pejabat koruptor dijadikan umpan makanan buaya dari pada indobesia hancur lebih baik para koruptor dibikin modar alias mati
@MasterDeni-s4p,secepatnya ruu perampasan aset para koruptor di syah kan biar aset negara kembali kepada negara tidak bisa di sembunyikan para koruptor
@annasempok-bu5dv,yang setuju koruptor ini di hukum mati dan keluarga nya di miskin kan unjuk jari
@hanyakomeen,begini saja bagaimana koruptor di bikin jera agar hilang di negeri ini gue pengen tampol banget kepala koruptor geram cokk pak presiden ri pak prabowo tolong tumpas habis babat habis para koruptor pak
@zermayazermaya2619,korupsi ketauan di pertamina bela diri seharus nya di hukum mati karen gustiawan
@rgk-channel6177,nambah gak cukup sekali
@adityajaya1071,bobrok
@anstar1951,bahaya korupsi efek jera hukuman mati tanpa sidang dimonas
@kiswantoatmojo4212,pemenang kisruh pertamina ditentukan permainan politik sekalipun dengan cara culas
@CNNindonesiaOfficial,siapa disini yang mau belanja dimana aja tapi tetep hemat tunggu apalagi yuk download allo bank dan upgrade menjadi allo prime kalian bisa download melalui link ini
@angahblues9340,tembak mati
@sinarlas2356,di tangkep lalu bebas
@zendrato7675,bongkar saja siapaxx temanxx mu jgn jdi kambing hitam
@agungbudianto8580,kelihatan tebang pilih
@wisnuharsanto8572,hebat ahh vonis thn keluarnya cuman thn
@kasroni4568,pejabat tingginya kagak bakal kena mentog ke karen tok yang lain aman
@rismanleo7665,sihok mana sihok bajingan cina
@cashmerecat9269,hahaha ketawain aja deh dengan casing barunya itu
@cintastyle7908,kasus kemenku trilyun kenapa kasusnya hilang begitu saja mahfud md juga diam trilyun lebih besar usut dong
@orange8172,jikali netsalahibuk mijya pemkatakan aja yetapi jikalj ngaksalah ya benaskna aja laj
@orange8172,nemat kuga kataqbang ini nisnis sama lotipsidi damakan siapa lagiyang maudagang
@orange8172,kerugiannya gimana bukyikanlah niar rakyqt tau
@orange8172,nati kitadagang katanya apa lorupsi padahal ngak pake mofal kau hrus kasih tau sejelaa jelasnya di bidang ekonomi yaa jikalungak ku kejarnih
@hamzahvrel370,bunuh gausah ada ham atau manusiawi
@HeriApriyanto-l8r,takutnya kantor kejaksaan kebakaran lg
@Gwenrafa,gak kebayang lu di neraka
@Runcing-s8i,penegak hukum lemah lembut terhadap para pelaku koruptor
@AlifKayla-r2v,pliss suruh minum itu pertamax yg dia oplos gaji udah gede masih auss ajah sama uang rakyatt dulu dari pagi nunggu penyoblosan untuk pilih bpk prabowo sekarang yg sudah dipilih alhamdulillah sudah menjadi presidan lalu apa kabarnya pakk buat orang seperti ini apa masih dikasih klayakan di penjara inggat pak kita bukan tuhan yg selalu memaafkan umatnya jadi tolong yg seharusnya sudah korupsi dinegara indonesia dan sudah merugikan rakyat seharusnya wajib dihukum mati stop untuk kasih fasilitas keluarganya kalo bisa agar kedepanya dinegara kita tikusx liar berkurangan
@BurhanudinOseng-o5r,hukum gantung di monas
@sampurnasiregar1105,periksa semua asetnya miskinkan semua anaknya periksa kekayaannya salam dari parlemen jalanann
@santoritv9885,hukumannya minum pertalite pertamax liter per koruptor bbm
@virsandra.1221,buat apa duit sebanyak itu ya allah
@darmonosugondo4266,masuk halaman atau ruang perwakilan bisa di tangkap apalagi dengan alasan untuk memperpanjang pasport negara asal
@usmanusman9203,para maling oknum pejabat pertamina kelompok penghianat bangsa karena kelicikan mereka pemakai pertamax mobil dan motor jadi rusak adilnya hukum mati
@Abduljumrah-yl5og,wajib kejar hasil korup mereka ambil oleh negara dan hukum seumur hidup mereka
@yuzarsif4457,huku mati perampasan aset turunann
@suhendrahendra8754,masyarakat indonesia jangan sampai lupa wajah mereka semua kalo suatu saat ketemu di jalan langsung di hajar saja
@ElangMobil-y5b6u,cuma orang mustahil
@jeglugbpchanel2348,kok giliran petinggi gak di pukulin sii giliran yg maling ayam maling pisang malah di pukulin wahh gak adill
@surotoprastyo278,adili jokowie thn pejabat subur korupsi
@newsandstoriess,kalo ga takut siksa akhirat mbok ya minimal punya rasa malu di dunia to blogg
@surotoprastyo278,hukum mati kl tidak korupsi pejabat merajalela
@anangfirmansyah-lu5zp,korupsi berjamaah g mungkin sendiri
@anangfirmansyah-lu5zp,pasti ada dalangnya d korbankan orang bayaran udah kbaca
@DewiRatna-r9r,dibuat uud korupsi dong solusinya kaya korea gk bosen apa liatnya idih amit mau jadi apa ini pemerintah amburadul
@HendrikusTriwoko,hukum mati aja itu koruptor yg sudah menipu dan menyengsarakan masyarakat indonesia
@jayautama6382,juta manusia di tipu orang batak dan jawa
@SuryaAuroraSuryaAurora,wah waah rusaakk rusaak negorone pak de pak de nek akeh wong korup ngene iki
@sitrong7062,di daerah saya orang yg pernah terlibat korupsi di amuk masa di jalan dan tidak diterima masyarakat
@beloggodol3157,hilangkan budaya melayani koruptor dg memberi hukuman ringan fasilitas penjara yg mewah dan memberi senyuman manis
@pardameanpanjaitan3158,hukum mati pasti ia akan bernyanyi dia tidak akan mau mati sendiri
@NenengSayy,ga tau maluu
@farhanngubabudin2377,semua bumn merugi tidak ada yg untung
@WawanPakhoy,seharusnya hukuman untuk para koruptor itu di tembak mati di tempat umum supaya rakyat para pejabat bisa melihat hukuman yg sebenarnya
@virzharamadhan5633,tk usah gusarlah paling kalian para koruptor akan dihukum enteng aj hidup indonesia gelap
@rusyantoyotegal9929,mungkin ilustrasinya begini kalau pt ppn beli bbm yg ron harganya misal tapi yg dibelinya ron atau dg harga kemudian di blending dengan additif zat yg meningkatkan ron utk menjadi ron dg biaya jadi berharga artinya ada selisih dg hrga bbm yg asli ron nah selisihnya ini yg mungkin di bajak oleh maling rakus tsb kira beginilah cara mainnya karena pertamina sdh membantah kalau pertamax yg dijual adalah hasil oplosan dg pertalite tetapi hasil blending dg zat penambah ron klo dicek di lab tentu ron nya menunjukkan angka tapi proses menjadikan itulah ada permainan selisih harga
@mulyanitentrem6521,rakyat papua kalau dengar ini tambah geram rakyat menderita miskin di tengah gelombang berbagai korupsi di berbagai bidang
@rizkyramdhani4366,itu yg punya tompel di kepalanya gue bolongin juga pake bor biar lebih terbuka pemikirannya
@Acengselera,serakah haji udah gede ge masih korupsi
@Sukirman-x1q,wajah serakah dan serakah nga bisa tenang sudah giliran masuk bui ke nusakambangan
@RidwanBegoek,koruptor istilah terlalu sopan buat maling disebut aja mali g duit negara
@GobokGobok,kenapa tdk di meskin kan sita semua kekayaannya
@Channel-yt5zv,muka koruptor kalau tertangkap dan di sidang ke pengadilan jangan ditutupin pakai masker wooyy jancook buka maskernya
@Yudi1922,seharus nya di hukum mati tetanga ku nyuri ayam aja di hukum bulan padahal ayam nya cuman laku ribu
@HNSCHANEL-ui2wf,bukan negara yang rugi tapi masyarakat
@BambangSutejo-rz7iz,sudah pak keren koq bapak pakai rompi ini foto dulu pak nah kan apa lagi kalau plontos
@muriah9021,harusnya yg beginih nih di miskinkan trs di penjara se umur hidup baru negara adil giliran yg nyolong ayam bebek belur
@FrionoOngol,gaji sudah besar masih korupsi dasar manusia rakus
@intanrahmila6236,rakyat lagi susah dibikin susah sama orang di pertamina kami beli bensin pake barcode pertamax di oplos bego nya sampe kelangit kami rakyat rugi akibat ulah kalian
@cepicepotcepicepot,tidak ada hukum mati si bgi koruptor
@herlina7046,gajih besar kok masih kurang orang tidak bersyukur akhir nya di penjara
@perwiraduta,apakah sop para tahanan memang harus pakai masker para kriminal sebaiknya jgn diberikan pakai masker krn ini bentuk tanggung jawab dan transparansi publik yg punya sop ini siapa
@irianton4729,perusahaan minyak milik negara rusak bagai mana mau bersaing di tingkat internasional sungguh memalukan
@RudyHartojo-vw8ny,gpp jgn kaget lah semua bumn rugi semua rakyat tidak kebagian bumn untungpun tetap saja kepala daerah tentukan upah hanya bulan happy saja
@SoegengSoegeng-d6p,konoha nasibmu hancur di gerogoti para korupsi kaciiann
@Sangkargapuk,orang mana yg g sakit hati di prank di tipu bertahun beli pertamax malah dapat pertalite udah kualitas bahan kabar jelek harga tinggi masih aja nipu indonesia nama negara rusak rugikan negara dan masyarakat
@jokonirboyo8689,telusuri juga kemungkinan aliran dananya kemana saja
@Shinta-l7e,ngapain sih maling di suruh make masker malu gitu buka aja ga usah make masker
@orokndableg9373,hukuman yg setimpal adalah tersangka di hukum mati keluarga nya istri dan anaknya di miskin kan
@nenengnini8752,ponaan siapa yg mengoplos pertamax
@Sukro-u4l,kembalikan minyak bensin kuning supaya motor tetap awet
@Caraka90-qr3vv,doa dri rakyat indonesia utk para koruptor semoga sakaratul mautmu nnti sangat mengerikan susah hidup segan mati tak mau
@infopalestine-oo3mq,ada kemarin aku lihat coba deh lihat vidio roky gerung yg kata nya kalo seandainya indonesia bisa jadi negara islam di situlah indonesia akan bisa tentram karna berlaku nya hukum yg seadil adil nya
@barayudhasinaga9223,dri hati yg palung dln buat pak president tercinta pak prabowo yg sanggup mengungkit kejahatan dan kecurang pt pertamina yg modal warna menaikkan harga trimksh psk prabowoo siksa sampai kuruss indes mereka
@GunawanOtomotif,hukum paliing beraat aja
@rosdianahutajulu3729,para pejabat beralih profesi menjadi profesi penjahst mantap bangat
@josephjoyce1628,bikin petisi hukum mati koruptor
@hermansyahherman4420,coba dong dulu siapa orang yg ngomong pertamax dh sesuai ane pemakai pertmax ngerasa pertmax ko boros eh ternyata rezim korup dari laut di pagar pertamamina di korup
@hani-le1bn,gila banget wajib di arak di monas dan kalu perlu di gatung di monas
@toroorlandachanel6393,yang setuju hukuman mati dan para koruptor ditembak di nusakambangan like
@kamunayak471,korupsi uang triliunan rupiah hukumannya lebih ringan daripada makan daging babi kita lihat aja endingnya nanti
@sakinaamalia5111,ya korupsi segitu banyaknya orngnya g mkn nasi kaliy mknnya duit kyanya
@sakinaamalia5111,sampe kiyamat pemerintah indonesia g bkl brni ada hukuman mati bagi korup karena semua yg korup y pejbt bgmana bisa bikin undng hkm mati abislh pr pejabat
@ranggawuni9809,dampak rezim ijasah palsu jangankan duit minyak duit haji saja diembat
@Ajunglestari,wah korupsi segitu bisa buat gedung burj khalifa
@endangsutardi9700,maling lagi pake rompi
@RumziHayani,yang rugi rakyat yang salah pemerintah sudah lama kejadian baru dibentuk
@wargasipilpubg2951,ganteng cocok sm rompinya
@revaabidah4753,mumpung negara ada duit usahakan untuk bisa korupsi sebanyak banyaknya dan mumpung juga hukuman masih sgt ringan tapi jgn lupa sy juga diciprati yaa
@OmDedi-x7c,memalukan udah pada tua ngga sadar diri nyopet duit rakyat koruptor pertamina ini dihukum seumur hidup
@Baladahindi12,gaji sebulan m masih aja korupsi sungguh serakah hukum mati aja biar gag ada lagi yg berani korupsi
@Baladahindi12,indonesia hukum bisa di beli jadi gak ada yg di takuti gua kasihan sama yg kasus singkong
@RusdiansyahLubis,hidup mewah sekeluarga pak
@LieLiee-z3b,kalo pemerintah msh memberikan ruang buat kruptor bkan nya tgas ini malah di anggap oleh plaku koruptor sebuah cerpen
@iskandarkarim-g4v,rakyat menuntut hukuman berat bagi korup di indonesia ini
@rizkiahimawanhimawan,hukum mati biar ada biar gak ada lagi yg korup yg sangat memalukan bagi negara
@syanda_shchannel7126,tidak mungkin ahok n erick selama ini aktifitas kejahatan yg dilakukan para dirut prrtakina
@Markustis,sadarlah kita tuh banyak utang jangan korup ngen dasar tompel kok gede hadehh gblk
@davidindonesia4753,koruptor iblis gak punya otak
@surtamangan,biang kerok kenapa terjadi korupsi di negeri ini dari jaman orba sampe skrg jawabnya hanya di wakil rakyat dpr
@wizardmodif4431,mau di gaji trilyun jg tetep korupsi karena saking serakah nya ini harus di hukum gantung kami yg bekerja di perusahaan yg gaji cuma rp jt hanya bisa membeli bensin buat motor saja sdh km bohongi jg betapa rakusnya orang ini lbh parah dr setan atau pun jin orang ini semua
@pujipurwanto2827,hukum mati terapkan di ri br slesai masalah utama di ri
@FarhahMaulida-u4l,negara kpntool di pimpin maling
@dudinhasanudin6637,hukum mati aja itu para setan
@dedekomarudin8897,ganti pemain ganti nama sistem sama
@Pakusman01,tunjukan muka sedih klo udh ketangkep sblmnya hepi dasar maling jancok
@ErinBuhang,santet
@remirenaldi-pm8ke,jancuk pada gak tau malu kalian modar koe
@TheHerytan,diguilotin aja
@AkiUwo,miskin kan sita hartnya hukum mati orang nya jangan ada yg bela
@AkiUwo,tembak di depan monas biar masyarakat tau
@dekatjauh3672,di arak dulu kee wey
@faridatampubolon7183,segerombolan maling dipenjara di nusakambangan aja smp mati disana dan hartanya diambil smp habis supaya merasakan jadi orang miskin kayak korban korupsi ya jgn nti cuma divonis atau thn ya p hakim
@AnggaFauzan-e7h,serakah
@SriNuryati-gh5gf,suwenee rek
@gunawanwibisono1106,pak jaksa keren semoga allah menjaga anda
@UleSule-f9u,mantap
@donihartaman4712,bisa ga ya hukuman nya di bunuh pasti jwb nya tidak akhir nya dihukum paling lama thn
@putriastriani1413,udah kenyang ya korupsinya makanya tuhan bikin kalian malu sebagai maling dan penipu
@ArmiSome-oz6ws,dikasih miskin turunnya jgn kasi jabatan itu otak koropsi buwah jatu tdk pernah jau dari ponnya
@saechuniman5118,langsung penggal kepalanya mereka di hadapan rakyat sita semua kekayaan yg mereka miliki jika di penjara terlalu enak hidupnya
@FaelSlowly,emang keren negri ku ini
@eozih,negri ini kualat sama pak harto
@Matadawah,korupsi yg sejak dulu di usut tuntas
@LieLiee-z3b,hukum tegakan lakukanyg tgas jgn hnya jadi tontonan di medsos aneh korupsi di mana tpi tg sdah masuk penjara tanda tnya
@Rrr44-vo2pu,harusnya indonesia jd negara makmur malah babak belur gara oknum
@felisiadevi4440,kakap nih baru keren kejagung jngn kaya kpk tidur
@ekoyarmi732,rakyat harus turun tangan desak dpr sahkan undang penyitaan aset koruptor
@kahfiakungoogle2661,gaji sudah luar biasa korupsinya gila
@junidartiecahyono1987,masih mikirin kok aneh bgt ya yg dirugikan jelas rakyat kok bisa pemerintah yg rugi t
@kajenka5460,buncit semua pelakunya
@simatupangummat640,miskin kan semua
@AdiPradana-ws8ii,untuk umpan buaya krm ke korea
@FitRia-nt2rk,lihat wajahnya tetap santai bikin sengsara rakyat kecil
@Mansur-zf5qv,hukuman pantas mati
@yhenipurwanti45,makan babi dan minum khamr dijauhi rejeki gak halal malah dicari kebangeten
@bhycoel,kalian semua penipu rakyat
@MohamadSanusi-x4t,orang korupsi bahan bakar ini cocoknya dihukum dibakar dengan minyak yg hasil korupsinya
@johnycoffee,pecat dan pidanakan semua direksi pertamina di sub holding maupun holding ini a sudah jelas kerja team bukan hanya unit tertentu
@JopsS-fz7sj,indonesia mau bebas koruptor angkat ahok jujur cerdas terbukti berani bongkar korupsi pejabat anggota dprd
@TasyaAngelinaAngelina,apakah penjaranya lebih dr havey mois
@HassbiAbi-ej2wd,sikat terus pak
@indiayu57,hukum mati door di tempat umum kalau perlu biar rakyat petcaya negrri ini krisis kepercayaan
@Hongi_leuenu0390,wajah terkutuk wajah kriminal proses secara hukum dan adili secara hukum
@AmirKhan-ty5kj,paling sd tahun nggak ngaruh kepada kehidupan keluarga saat bebas masih nyimpan sekian t lagi rakyat sebagai korban emang dipikirin yang dimiskinkan siapa boss
@prayogabutar2793,hukuman nya paling tahun
@jejelinda8030,hahahhahaha ada yg gak kebagian atau gak rata pembagian jadinya nyanyi deh hahhahaa memang kebohongan pasti terbongkar korupsi rakyat kecil yg susah
@Sonatanada-d8u,saatnya pemerintah untuk buat hukum yg berat untuk koruptor biar pada kapok bukan malah menjamur
@tolukunmclaen3058,hukum mati aja
@iyutcitata6900,gx adil law maling ayam maling ubi di gebukin ini masak korupsi ratusan trliuanan gx di gebukin hukum pancung
@sonnyaditya1453,hukum mati plis klo ga hukum mati kebangetan ini negara busuk bgt dimata dunia
@GunawanTriwinarko-s8h,modyar babi pertamina
@mbahutie5912,dari wajah nya wajah bengis samping mulut turun mata tajam menatap seperti mata elang mencari masa
@cakramerta,saking seringnya masyarakat mendengar korupsi yg triliunan lama bisa menjadi apatis dan akhirnya membiarkan kecuali ada tindakan hukuman mati
@jijayles,kok rugikan negara nohh gw yg pakai pertamax parah lu
@yononato4232,kalau bisa hukuman mati saja krna sdh merugikan negara dn rakyat
@Rrr44-vo2pu,serakahhukum mari
@a0935231939,malunya sampai ke anak cucu
@siyahmun3306,biar di tahan bisa leluasa
@ayucinta3105,baju warna pink merona bagus
@waluyoagus6838,kalau kejadian ini di korsel pasti calon napinya lemas banget tapai kalau di negeri konoha tersangkanya masih bisa senyum dan masih tegak kepalanya
@dewichannel4211,hanya bisa berdoa semoga alloh memberikan indonesia pemerintahan yg amanah
@Si_orens,spil keluarga koruptor nya gan anak istrinya aku ig nya
@wenisuwito8649,masih muda tapi isi otaknya sudah jadi tikus negara
@gaudensiusrambang2777,bagaimana ngga korupsi di sini yang ada hanya omon kenapa ya sekitar tahun terakhir ini kerugian negara dari korupsi semuanya berkisar diangka triliunan apakah nanti indonesia akan punya awards buat top koruptor di indonesia bagaimana nasibmu indonesia emas
@WillSaerang,eric tohir harus di copot dari menteri karena gagal memimpin bumn
@hijaumint-kn9jy,betapa malunya anak istrinya ayah bundanya keluarga besarnya selama ini mjd kebanggaan krn kehebatan jabatan dan kekayaan tapi kok ya masih korupsi akhirnya semuanya jatuh ke arah kegelapan rakyat jelata pun berkata teganya nikmati hasil kecurangan kalian kurang sugih yo
@herisetiawan78,bener kata pak ahok di pertamina banyak mafia markup pengadaan minyak bumi indonesia tetap ketinggalan dari malaysia singapura thailand brunei dll
@putrahastinapura4248,pak woo lebih jeli bela rakyat yakin nkri maju
@deddyirwandy3884,itu muka tersangka semua dibuka ga usah ada yg pake masker biar kelihatan tuh bangsatnya
@mainansonia,hukuman mati
@Sekararum-i3e,di konoha mah dah biasa jngn pada heran
@adiiiii7388,kejagung di tantang ahok tuh brani totalitas gk
@JOV_Cenari,cobak ada hukum yang korupsi disuruh mengemblikn uang hasil korupsiny dan hbis itu dihukum mati pasti ng ada yng bkl korupsi lgi
@sitinurhidayah2359,apa indonesia nggak hancur sda melimpah lha koq rakyatnya miskn phk dimana cari kerja susah sdh thn lhoo
@Hawaniamaharani-r6y,miskinkan dan hukum mati aja sampah seperti itu
@solehasolihin3131,selalu merugikan negara merugikan rakyat seluruh indonesia
@faridahrochaeni1954,sementara masih ada orang yg beli bensin cuman sedih gw liat nya mau gw kasih takut dia mengira hal lain ketir gw liat nya
@aliwaha1918,gk usah sopan begitu x pak saat di tangkap
@ayenyt17,korupsi dengan cara titip vendor kah ini kalau gini sih semuanya pasti ada bahkan di pt swasta banyak sekali
@Jaka-kc4vk,sampah negara gene biarkan aja malu nggak usah dikasi pake masker zoom aja wajahnya agar seluruh indonesia tahu penghianat seperti gene miskinkan hukum mati aja
@Love4allkind,semboyan akhlak kelakuan maling tapi ga terima dibilang gelap hidup ndasmu
@warungmamarava2930,hebat kejagung kpk mana nih
@Zaskia5380,yg paling di rugikan rakyat beli pertamax dgn harga mahal rupanya isi nya pertalite sudah saat nya indonesia terapkan hukum mati koruptor
@juliananapitupulu3493,cocok nya ini koruptor digantung
@steveholt3513,contoh salah satunya pejabat indonesia
@Elin-m9h,org tamak serakah
@suprayektiprawirosudarmo5056,oknum korupsi harus mengembalikan uang rakyat yang membeli bahan bakar yang telah dioplos minimal setiap pemilik mobil dan motor bisa diberikan ganti rugi mengapa ya kalian oknum pejabat sudah gajinya besar masih korupsi memperkaya diri mohon negara ibu sri mulyani lapor uang korupsi yang sudah dikembalikan ke negara miskinkan mereka dan segera untuk bayar hutang negara
@RiniHandayani-b6r,cocok dihukum mati kalau di korut ato china udh hilang ni nyawa org dipenggal
@WidodoTomen,ini kalau pemerintah koruptor tidak dihumum mati akan banyak koruptor lagi
@Se_sport,pingin banget saya pukun koruptor itu sampai patah tangannya
@kamaludin7020,bakar hidup di saksikan rakyat
@Menarachanel,ancur negara
@retnoandianingrum8358,penyebutan nama jangan pakai inisial udah sebutin aja nama lengkapnya biar malu seumur hidup juga anak istri bapak ibu udah bukan negara aja yg rugi langsung loh ke rakyat cukk
@suratmi5092,terapkan hukuman mati bagi koruptor kalau tidak negara ini hancur kasihan masa depan anak cucu kita
@siiiblack962,konyol bgt udh segitu byk nya baru ketahuan puas bgt dah tuh hura pake duit panas
@marliyah6310,harusnya dihukum mati atau seumur hidup
@abengmadiasta6766,ini wajib di hukum mati maling ini
@kacuksuyanto4499,di hukum mati saja karena merugikan masyarakat indonesia
@krisnowahyudi4208,ko rugikan negara sih rakyat yg udah bli pertamax apa ga dirugikan merugikan rakyat lah
@johaneschenlie2904,negara ini hancur di karenakan bangsa sendiri yg berwatak koruptor dan mereka tidak cinta masa depan negara ini maupun rakyat miskin
@johaneschenlie2904,menuju indonesia c emas dg koruptor penghancur masa depan rakyat
@mhyaNav,sepandai pandai tupai melompat pasti jatuh juga sepandai pandai sembunyikan bangkai pasti tercium juga
@nonom77,hukuman mati setuju
@HendraWawan-j3g,shrus nya dpr segera mgesahkan undang perampasan aset dan hkuman mati kalau tidak negri ini akan hncur oleh pejabat yang korop
@Tolee-q1o,tembak di tempat saja sudah kelamaan
@happyhappy-pn6hy,gk pd mati qja sii koruptor ya tuhan
@Sutiah-r5p,kalau di tanya soal agama bilangnya islam tapi kalau di tanya soal makan babi pasti bilangnya haram tapii kalau di tanya uang korupsi bilangnya halal itulah orang indonesia islam seperti ini cm formalitas seperti kyk di ktp
@berotoza-nu3db,tangkap hukum mati
@nurindraramadhani4803,hukum mati i miskinkann yg semua ada hubungan dengan pencuri uang rakyat ini
@berotoza-nu3db,sita semua asett miskinkan
@brantakanproject,kenapa negara yg dirugikan bukanya masyarakat yang dirugikan
@satriyaagungwicaksana9015,wajib di kill mental korupnya sangat berbahaya buat negara
@JuniorFK23,semoga mereka di azab sepedih pedihnya aamiin
@hozie-fz1ck,manusia yg pake rompi tangan di borgo salah satul manusia serakah di dunia
@HamDan-ie6rk,hukum pancung untuk krpr
@Aira87333,ya allah knp para pejabat negeri qu pada koropsi begini berikan lah merka hidayah ya allah
