username,comment,predict
@JalanBaru-y3x,segera sahkan ruu perampasan aset,Negatif
@taufikridzal3738,hukum mati ngapaa udah urgent banget ini negara woii ampun dah ah,Negatif
@antonhananto2775,ya allah sadarkan koruptor spy tidak menambah susah dan menyengsarakan rakyat kecil,Negatif
@munawar2702,perampok negara,Negatif
@FalenciusSimarmata,karna tdk ada sanksi tegas bukannya berkurang malah menjadi dulu korupsi milyaran sdh paling besar sekarang malah naik ke trilyunan berarti tdk ada efek jera,Negatif
@CatLover-md3uc,baju tahanan pake sndiri njing manja amat minta dipakein,Negatif
@anugrahnababan6010,di perusahaan milik negara masih ada,Negatif
@orangjawa9339,negeri ini kaya negeri ini punya segalanya tetapi keserakahan para pejabat mengakibatkan rakyat miskin rakyat sengsara di negeri sendiri,Negatif
@SHP--8X,hukum mati koruptor harus,Negatif
@leentje6449,seharusnya seluruh rakyat indonesia dari sabang sampai merauke mengadakan demonstrasi secara besar besaran di tiap provinsi yang berjudul sahkan uu hukuman mati untuk para koruptor kasihan rakyat jadi korban kemiskinan banyak kriminalitas dan phk,Negatif
@obi4131,info link petisi hukuman mati karena mereka bukan manusia,Negatif
@jusaccmishak,menjadi bersih dan lebih baik lagi kejagung good job,Negatif
@joyoutomo1911,indonesia darurat korupsi seperti sudah jadi budaya yang hampir setiap hari ada beritanya makanya para investor luar negeri takut investasi di indonesia,Negatif
@lightoson8469,uy netizen kali ini kita pantau baik persidangan mereka termasuk para hakim my spider sense is tingling,Netral
@SolowerSolos,t berapa rm tu salam dari malaysia,Netral
@erni1947,sedih gua sama negara ini korup dmna yg di rugikan bisa apa bos saya pekerja biasa bela in beli bbm yg bagus demi kendaraan agar mesin ok ehh masih di tipu juga begini lah rakyat kecil,Negatif
@jeffry6506,indonesia negara macam apa,Netral
@mahkotaaccesoriesmobil8253,jujur aja maka nya orang matian cari pangkat dan jabatan pasti cuan nya banyak jd gk heran kok dr perangkat desa k atas pasti duit nya banyak dr mana itu aja kita tau coba d cak klau gk percaya untuk apa mereka mau matian mau menjabat,Negatif
@makmursurjono8116,sby dan dahlan iskan terlibat nich,Negatif
@SayutiBuer-tp5ch,tu serkuit mandalika jelas ada kerugian pak kabar kpk kok diam,Negatif
@manahannainggolan7592,selidiki juga siapa dibelakangnya miskinkin hukum seberat beratnya,Negatif
@otoono9000,ada perintah presiden siapakah di tahun itu rasa tak tahan dengan tekanan makanya bu karen mengundurkan diri sebelum habis masa jabatan,Negatif
@N.N.J_flowerhorn,ini sie kalo ngga di hukum mati sumpah kebangetan lebih gila ini mah sampai ratusan triliun coba aja dana sgitu buat bangun jln dan sekolah,Negatif
@chandratri7237,mudah an tim kejaksaan akan tetap trus amanah memegang teguh sumpah jabatan,Negatif
@Mang_dimis,penangkapan hanya formalitas ini hanya pion untuk masuk bui bayar denda kasih tahun bebas dalang yang asli masih menari di atas rakyat menjerit tertindas kesulitan ekonomi untuk membeli beras cuman bisa berdoa apakah besok masih bisa nafass,Negatif
@limejunajolimejunajo695,hukuman mati yg pantaas untuk koruptor ini sdh menipu rakyat seluruh indonesia,Negatif
@xueueux,t per tahun yah jurnalis,Netral
@Tilarsih-d5t,wow koruptor lagi enak seh hukumannya makanya banyak yang korup rakyat bilang hukum mati untuk yang koruptor adohh kacau neh negara,Negatif
@vivi-hy9kp,apa aku yg gak melihat ada seragam polisi yg ikut nangkap kasus ini kejaksaan langsung turun tangan sat set,Negatif
@jkt0082,menyala abangku,Positif
@naviseu,cooked,Netral
@dimasrichi,sehat selalu semua yang terlibat dalam berita ini,Negatif
@thanosgaming9488,kalo orang ini hilang kita tau kenapa,Negatif
@Indo.k,sihh,Netral
@aamamruloh1732,menyala omon doang nyatanya korupsi semakin meningkat lanjutkan,Positif
@yarnissikumbang4330,erik tohir punya tangung jawab tuu,Negatif
@muhammadriko114,capek kapan indonesia bisa bebas korupsi,Negatif
@cooljunior6962,biadab emang beli pertamax dapatnya pertalite bertahun tahun pula lagi netizen indonesia yuk bisa yuk,Negatif
@gunawansetiabudi9735,saat pak prabowo menjadi presiden mulai banyak kasus korupsi terungkap kasus yang sudah terungkap dipertegas benar cuci gudang pak prabowo tugasnya berat memperbaiki pemerintahan yang berantakan pasti banyak yang demo dengan cara mencari kesalahan kekurangan sistem program pemerintahannya banyak oknum yang cemas takut terbongkar semoga negeri ini semakin lebih baik,Negatif
@MuhammadRidwan-xz7ko,rakyat yg sll jdi korban harga minyak naik twrus bajinfan pejabat yg korupsi,Negatif
@aisyah325,sya tunggu ke tegasan p prabowo untuk para koruptor,Positif
@yuyunlinda9310,hukum mati banyak rakyat melarat tercekik karena ini rakyat yang rugi,Negatif
@amramr9732,coba kejagung juga di periksa,Negatif
@bambangkurdianto9972,beri pelayanan terbaik pak jampidsus untuk para koruptor jangan lakukan sprt maling ayam yg harus babak belur dulu hidup indonesia,Positif
@cepyAlphino,rakyat yg rugi bukan negara,Netral
@NovalHasan-u3b,tidak ada wajah menyesal atau menunduk hehee hebat sekali kestria kesatria ini,Negatif
@depokebab2506,jabatan dirut gajinya fantastis apa masih kurang gaji yg di terima tiap bulannya,Negatif
@Andy_Leored,lho kok malah ditumbalkan kpk gak jelas ni tanya presidennya yang waktu itu kasih instruksi,Negatif
@brapogivi1029,seharusnya negara bisa menerapkan hukuman mati kpd orang koruptor janganlah ada yang bila pri kemanusiaan lagi karena mereka juga orang yg punya hati,Negatif
@nikojumaidi5219,tampangnya seperti tidak ada kata berdosa please netijen cari tau semua familynya biar kena sanksi sosial,Negatif
@Dungataaa_,pak prabowo bilang kerjar koruptor sampe kemanapun anda sekarang sudah menjabat mana perkataan anda pak,Negatif
@tresnasarimartha30,ini bukan hanya mencuri tapi dzolim juga,Negatif
@RD_official-y8t,goreng terus bang,Negatif
@marwahputrinur7310,masak terus kingg,Netral
@MORO19-ip4vf,menyala abangku,Positif
@EvaLina-m3i,makanya pertalite cepet habis boros dibanding shell sama bp lha dioplos mungkin pake minyak angin sama mereka pejabat pertamina bobrok,Negatif
@EvaLina-m3i,pantesan kilang balongan sering terbakar tempat penyimpanan minyak nya dibakar supaya stok kosong jadi import jahat betul itu orang rakus,Negatif
@yudibudiman1821,kenapa mahasiswa gak apa demo percepat uud perampasan aset pagi para koruptor dan miskinkan hukum mati,Negatif
@junnaidi-c3b,haduhh ni yg korop semua prushaan negara di korup rebus aja sklian sm aset yg bolh korup biar pda tobt,Negatif
@Vierra_Kishimoto.,biarkan metro tv memasak,Netral
@fdfirmansyah9767,teruskan acara seperti ini,Netral
@fajrisidik9525,pakai hukum islam yg namanya maling alias koruptor di potong tangan nya biar pada kapok bukan di potong hukumannya seperti hukum warisan belanda ini,Negatif
@Sofyya_official,kebiasaan emang ya ada aja gebrakannya kemarin pas puasa si dewi timah sekarang si pertamina hujat aja guys akun instangram keluarganya sampe mampus tuhh pokok nya jangan sampe hilang jejak digital buruk para koruptor kalau bisa sampe turunan sampai cicit dihujat trus sama netizen ayolah netizen mari kita sama cari akunnya gemezz gw lihatnya,Negatif
@nurnanengsih4217,yahh pejabat mental maling bukan masalah gji besar atau kecil tp memang sdh mental maling haus harta jd rusak jabatan dan merugikan rakyat dan negara sendiri seret tangkap hukum mati dan adili sita asetnya untuk rakyat dan negara yg sdh di rugikan dri tahun sampe lama bgt kn rakyat sdh di tipu karna ulahnya yg licik kikir kufur dan korup,Negatif
@captenix,benalu,Netral
@Ponsel-iq5cw,jaksanya hebat bisa mngendus modus jahat dan itu modus kuno yg sdh fasti para auditor hrsnya tahu sejak,Negatif
@edihendrardi2286,negara tidak rugi yg rugi pembeli pertamax konsekuensinyah hilangkan qr code bbm buat apa beli pertalite dg harga pertamax,Negatif
@XiomiRedmi-d2d,astagfirullah sampai kapan korupsi hilang di indonesia,Negatif
@muryanicikgu,hukum mati dan miskinkan sita semua hartanya koruptor rakus dan serakah itu,Negatif
@Baharuddin-jc8st,bawa ke monas suruh lompat,Negatif
@AgussalimUs,rakyat yang beli minyak oplosan kok negara yang rugi seharusnya rakyat yang rugi aneh,Negatif
@dadisantoso7738,negara ini sudah kritis sudah saatnya diterapkan hukuman mati,Negatif
@bercerita2248,tidak karena bergaji kecil mereka dapat melakukan korupsi tidak ada juga alat ataupun cara utk mengetahui calon pejabat tinggi akan korupsi tidak rasa takut ketakutan adalah rem seseorang ketika ingin melakukan tindakan jahat karena ketakutan adalah komponen penting dalam seseorang melakukan suatu pilihan saat ini tidak semua orang takut dosa tapi pasti banyak orang yg takut mati jika hukuman mati tidak ada untuk para koruptor jangan berharap lebih ya yang sudah didalam penjara saja masih ada kemungkinan jalan keluar penjara mungkin bagi para koruptor melakukan korupsi itu seperti bisnis ada rumusnya nilai korupsi masa hukuman keuntungan,Negatif
@Woundslayer,total kerugian negara gk maen cok bner kta pak mahfud jika diindonesia tdk ada korupsi dan smua kekayaan alam dkuasai negara dan dgunakan utk kesejahteraan rakyat bsa jd orang bsa dpt juta perbulan dan smua fasilitas kbutuhan pokok bsa gratis,Negatif
@Jp123-u1y,udah satnya di matiin dan di miskinkan keluarganya tu koruptor rakyat udah jerah,Negatif
@Mentokbalap,miskinkan aja pak malu maluin negara ingin maju uang mereka hambur hamburin seharusnya negara punya devisa negara yg lebih malah uangnya mereka memperkaya diri mereka gaji mereka dah sangat besar masih saja serakah,Negatif
@andresirait3024,selama pelaku korupsi tidak dimiskinkan dan penjara seumur hidup jangan harap indonesia memiliki potensi memajukan negri,Negatif
@igabakarasamcsawangan,terimakasih pemerintah sudah membuat aturan yang mengakibatkan mereka terjebak mohon ditindak lanjuti dengan hukum mt,Negatif
@rikikitiw8315,hukum mati,Negatif
@kristinatinur8880,knpa baru sekarang ketauan lah sebelumnya apakah tdk ada audit,Netral
@jangkrikkebon8657,silahkan lu pada makan terus itu duit setan makan sampai tujuh turunan lu kekenyangan memang lu bisa selamanya di dunia akan datang saatnya lu pada bakal kelojotan seperti cacing kena garam nemenin setan di neraka rasaaiinn,Negatif
@parjosky3227,senaang banget kejagung lebih berani dari kpk,Negatif
@MimihJenia,karucluk,Negatif
@tiwiepratiwi7543,tolong yang korupsi di beri sangsi tegas hukum mati atau miskinkan sampai turunan,Negatif
@ParhanPirdiansyah,melibihi harvey moeis,Negatif
@irvanabimanyuabimanyu5935,sampai begini ttp aja dpr pura buta pura tuli takut senjata makan tuan untuk memiskinkan menghukum mati pejabat korup bukan begitu sudara yang terhormat dpr,Negatif
@kangbnjl2577,paling penjara bulan abis bulan penjara keluar jalan luar negeri dan menikmati hasil hidup mewah,Negatif
@nuryahaneswijayajoehanes7811,mafia koruptor adalah musuh nyata dan pembangkang bagi nkri mereka harus di hukum mati dan mayatnya di gantung di monas biadab,Negatif
@niaandriyani3575,padahal semua produk bumn kebanyakan laku keras dipasaran kaya pertamina pln garuda indonesia dll tapi ko didengernya rugi terus gaji udah besar masih aja serakahnya melebihi setan gua rasa setan juga geleng kali ngeliat kelakuan manusia zaman sekarang hukumannya harus serius jadi gada lagi koruptor dinegara ini,Negatif
@DrShay777,wah inilah konoha jawir semua nya mau di pungli di korupsi di palak smpai kapan ga akan maju,Negatif
@ilhama7645,kpk kemana aja jaksa agung mulu yang gerak sampah lah k,Negatif
@SyawalAulia-nk7ru,pantes pertamina selalu rugi,Netral
@alifahshabrina9953,periksa komisaris pertamina ahok basuki cahya purnama tahun ko sampai gak tau anak buah nya korupsi,Negatif
@anakkampungan4973,paling lama tahun penjara hukumannya ini indonesia ini,Negatif
@HURIWARDAHNIHAYATI,tampang maling generasi milinial tambah mengerikan motif operandinya semakin canggih semakin brutal,Negatif
@elsyeahmadahmadandalas5884,usir saja semua bangsa yaman perusak negara dan bangsa indonesia anies sarita bahar lutfi yahya dirut pertamina semua gx tau malu kerjaan nya nipu maling pembohong perhatikan semua jual agama penipu semua deportasi mohon pak presiden jendral prabowo assegaf sama yaman juga sudah numpang di negara orang maling pula,Negatif
@ah_channel007,negara dirugikan negara dirugikan negara dirugikan sekian triliun apa lupa itu yg membeli minyak siapa rakyat sangat dirugikan bro beli pertamax tapi rasa pertalite selama tahun itu yg perlu kalian hitung juga jangan sekarang masih beredar minyak hasil sulap para bedebah pertamina itu,Negatif
@abangmo8814,koruptor masuk penjara gak masalah apa kabar perampasan aset,Negatif
@Dasini06-bg8uq,tidak hanya bahan bakar nya oli mesin pertamina juga ikutan menurun kualitasnya pilih merk lain misal motul dah cocok nyaman,Negatif
@NurdingGedug,enak korupsi di indonesia hukuman nya lemah,Negatif
@nurhadiatma7594,bkan negara yg rugi bos tapi masyarakat yg di tipu tentang produk,Negatif
@Masfery_007,kim jong un ngakak melihat ini,Negatif
@MUFXD,stop tutupin bandit pake masker,Negatif
@Jhonois,masih gak percaya kalau dia bakalan di penjara percaya deh itu korupsi segitu masih sepele saya yakin masih banyak di atasnya itu yang ribuan t,Negatif
@Wleee28,jelema garoblok hukum mati untuk para koruptor,Negatif
@melisayanti2026,pk tolong d hukum mati pak tolong berpihk sm kita rakyat kecil pak,Negatif
@dewandesa-r3q,brimob polri tidak berani lagi kepung kejagung krn ada perlindungan dari tni kepada kejaksaan agung,Negatif
@IkhaSholekha,bisa gk sih hukuman mati buat para korupsi biar kasih efek jera,Negatif
@ibu083,apbn defisit sementara bumn uangnya dikorupsi rame luarbiasa keterlaluan,Negatif
@gairahadam5304,mantapz ini yang paling di tunggu,Netral
@belajarinternet7134,kerugian negara karena resiko bisnis tdk bisa dipidana kasus ka sebelumnya juga kasus resiko bisnis dan ka tdk bersalah yg hrs dibuktikan adalah apakah ada gratifikasi dan sop yg dilanggar,Negatif
@dodolliprett,yusuf kala panik,Negatif
@kuntardi4072,sabar bu allah swt tidak tidur,Positif
@ekosusilo7828,dimiskinkan,Negatif
@pintaulindapintaulinda245,karen muslimah ya saya pikir kristen karna dulu waktu menjabat gak pernah pakai kerudung,Negatif
@Win_1003,lagu lama tetap abadi pake hijab kalo jadi tersangka koruptor ha,Negatif
@markuslolo,coba tebak berapa tahun mereka ini akan di penjara a satu tahun b satu tahun dua bulan c satu tahun dan dipotong masa tahanan lima bulan d tidak di penjara karena bersikap sopan saat sidang e tidak di penjara karena bapak ini masih punya anak kecil yang masih bayi,Negatif
@rezapasha510,uang negara buk,Negatif
@marvaabyu197,masak terus cheff,Netral
@muhammadoktario6433,apakah dex oplos solar jg,Netral
@waras7788,uda ibu nyanyi kan yg merdu dan siapa yg ikut bermain,Negatif
@ceritahanturikko3070,saya mewakili rakyat minta di hukum mati titik tanpa koma ga pake lama sekarang juga,Negatif
@gairahadam5304,setelah ini nunggu kasus sumberwaras yang sudah mulai lapuk di malam jamur jangan sampai hilang itu kasus,Negatif
@Bening000,indonesia darurat koruptor diberbagai lini pemerintahan sudah biasa ada permainan korupsi sudah sepatutnya dpr buat uu hukuman mati utk koruptor di indonesia,Negatif
@riskirido3967,naikan gaji kata sigemoy mau setinggi apapun anda naikan gaji kalau otak korupsi gak merubah keadaan yang benar itu tegak kan hukum bila perlu hukum mati tersangka korupsi dan miskin kan mereka,Negatif
@abrarekawijayaabrarekawija3801,baju koruptor kebagusan goobllook suruh pakek goni aja terus jangan pakai boorgol pakek aja pasung gablok bodoh segitu banyak yang dia curi terlalu baiikk pencurii sepeda motor aja digebukkin kalau udah terbukti serahin ke masyarakat kita picis aja pakek hukuman zaman dulu,Negatif
@HalimNasution-c9i,oh ala dasar maling buat rakyat indonesia aj jadi miskin gaya elit ternyata uang koropsi,Negatif
@nursidik5754,hukum matii semua koruptor maka ga ada koruptor lagi di indonesia,Negatif
@duan7843,selama hukum mati belum berlaku korupsi makin merajalela,Negatif
@Saika5140,teruskan memasaknya,Netral
@duomastergamer3632,alamak bro benar terjun ke dasar jurang,Negatif
@novialwan8108,tetap sejahtera dan aman klo yg berbuat jahat banyak duit,Negatif
@MeRealDreamer,ini yang thn lalu presiden prabowo mengatakan bocor satu persatu bocor itu keliatan,Positif
@antonsarwono4035,lagi musim para koruptor tertangkap semoga nggak musiman ya,Negatif
@adibaadiba6931,inil h yg menyebabkan raky t kecil sengs ra,Negatif
@raendraviegantara5251,omong kosong,Negatif
@Atya1717,semua dugaanku benar dan terbukti saya pernah mengatakan kalau di tubuh pertamina dan semua bumn lainnya terjadi korupsi besar besaran dan terbukti kann saya juga pernah komentar kalau di bank indonesia yakin ada korupsi b sar besaran dan terbukti juga kann dan saya yakin ada korupsi besar besaran di semua kementrian,Netral
@hendrasurya140,satu kata buat para pejabat koruptor dijadikan umpan makanan buaya dari pada indobesia hancur lebih baik para koruptor dibikin modar alias mati,Negatif
@MasterDeni-s4p,secepatnya ruu perampasan aset para koruptor di syah kan biar aset negara kembali kepada negara tidak bisa di sembunyikan para koruptor,Negatif
@annasempok-bu5dv,yang setuju koruptor ini di hukum mati dan keluarga nya di miskin kan unjuk jari,Negatif
@hanyakomeen,begini saja bagaimana koruptor di bikin jera agar hilang di negeri ini gue pengen tampol banget kepala koruptor geram cokk pak presiden ri pak prabowo tolong tumpas habis babat habis para koruptor pak,Negatif
@zermayazermaya2619,korupsi ketauan di pertamina bela diri seharus nya di hukum mati karen gustiawan,Negatif
@rgk-channel6177,nambah gak cukup sekali,Negatif
@adityajaya1071,bobrok,Negatif
@anstar1951,bahaya korupsi efek jera hukuman mati tanpa sidang dimonas,Negatif
@kiswantoatmojo4212,pemenang kisruh pertamina ditentukan permainan politik sekalipun dengan cara culas,Negatif
@CNNindonesiaOfficial,siapa disini yang mau belanja dimana aja tapi tetep hemat tunggu apalagi yuk download allo bank dan upgrade menjadi allo prime kalian bisa download melalui link ini,Netral
@angahblues9340,tembak mati,Negatif
@sinarlas2356,di tangkep lalu bebas,Negatif
@zendrato7675,bongkar saja siapaxx temanxx mu jgn jdi kambing hitam,Negatif
@agungbudianto8580,kelihatan tebang pilih,Netral
@wisnuharsanto8572,hebat ahh vonis thn keluarnya cuman thn,Negatif
@kasroni4568,pejabat tingginya kagak bakal kena mentog ke karen tok yang lain aman,Negatif
@rismanleo7665,sihok mana sihok bajingan cina,Negatif
@cashmerecat9269,hahaha ketawain aja deh dengan casing barunya itu,Negatif
@cintastyle7908,kasus kemenku trilyun kenapa kasusnya hilang begitu saja mahfud md juga diam trilyun lebih besar usut dong,Negatif
@orange8172,jikali netsalahibuk mijya pemkatakan aja yetapi jikalj ngaksalah ya benaskna aja laj,Negatif
@orange8172,nemat kuga kataqbang ini nisnis sama lotipsidi damakan siapa lagiyang maudagang,Negatif
@orange8172,kerugiannya gimana bukyikanlah niar rakyqt tau,Negatif
@orange8172,nati kitadagang katanya apa lorupsi padahal ngak pake mofal kau hrus kasih tau sejelaa jelasnya di bidang ekonomi yaa jikalungak ku kejarnih,Negatif
@hamzahvrel370,bunuh gausah ada ham atau manusiawi,Negatif
@HeriApriyanto-l8r,takutnya kantor kejaksaan kebakaran lg,Negatif
@Gwenrafa,gak kebayang lu di neraka,Negatif
@Runcing-s8i,penegak hukum lemah lembut terhadap para pelaku koruptor,Negatif
@AlifKayla-r2v,pliss suruh minum itu pertamax yg dia oplos gaji udah gede masih auss ajah sama uang rakyatt dulu dari pagi nunggu penyoblosan untuk pilih bpk prabowo sekarang yg sudah dipilih alhamdulillah sudah menjadi presidan lalu apa kabarnya pakk buat orang seperti ini apa masih dikasih klayakan di penjara inggat pak kita bukan tuhan yg selalu memaafkan umatnya jadi tolong yg seharusnya sudah korupsi dinegara indonesia dan sudah merugikan rakyat seharusnya wajib dihukum mati stop untuk kasih fasilitas keluarganya kalo bisa agar kedepanya dinegara kita tikusx liar berkurangan,Negatif
@BurhanudinOseng-o5r,hukum gantung di monas,Negatif
@sampurnasiregar1105,periksa semua asetnya miskinkan semua anaknya periksa kekayaannya salam dari parlemen jalanann,Negatif
@santoritv9885,hukumannya minum pertalite pertamax liter per koruptor bbm,Negatif
@virsandra.1221,buat apa duit sebanyak itu ya allah,Netral
@darmonosugondo4266,masuk halaman atau ruang perwakilan bisa di tangkap apalagi dengan alasan untuk memperpanjang pasport negara asal,Negatif
@usmanusman9203,para maling oknum pejabat pertamina kelompok penghianat bangsa karena kelicikan mereka pemakai pertamax mobil dan motor jadi rusak adilnya hukum mati,Negatif
@Abduljumrah-yl5og,wajib kejar hasil korup mereka ambil oleh negara dan hukum seumur hidup mereka,Negatif
@yuzarsif4457,huku mati perampasan aset turunann,Negatif
@suhendrahendra8754,masyarakat indonesia jangan sampai lupa wajah mereka semua kalo suatu saat ketemu di jalan langsung di hajar saja,Negatif
@ElangMobil-y5b6u,cuma orang mustahil,Negatif
@jeglugbpchanel2348,kok giliran petinggi gak di pukulin sii giliran yg maling ayam maling pisang malah di pukulin wahh gak adill,Negatif
@surotoprastyo278,adili jokowie thn pejabat subur korupsi,Negatif
@newsandstoriess,kalo ga takut siksa akhirat mbok ya minimal punya rasa malu di dunia to blogg,Negatif
@surotoprastyo278,hukum mati kl tidak korupsi pejabat merajalela,Negatif
@anangfirmansyah-lu5zp,korupsi berjamaah g mungkin sendiri,Negatif
@anangfirmansyah-lu5zp,pasti ada dalangnya d korbankan orang bayaran udah kbaca,Negatif
@DewiRatna-r9r,dibuat uud korupsi dong solusinya kaya korea gk bosen apa liatnya idih amit mau jadi apa ini pemerintah amburadul,Negatif
@HendrikusTriwoko,hukum mati aja itu koruptor yg sudah menipu dan menyengsarakan masyarakat indonesia,Negatif
@jayautama6382,juta manusia di tipu orang batak dan jawa,Negatif
@SuryaAuroraSuryaAurora,wah waah rusaakk rusaak negorone pak de pak de nek akeh wong korup ngene iki,Negatif
@sitrong7062,di daerah saya orang yg pernah terlibat korupsi di amuk masa di jalan dan tidak diterima masyarakat,Negatif
@beloggodol3157,hilangkan budaya melayani koruptor dg memberi hukuman ringan fasilitas penjara yg mewah dan memberi senyuman manis,Negatif
@pardameanpanjaitan3158,hukum mati pasti ia akan bernyanyi dia tidak akan mau mati sendiri,Negatif
@NenengSayy,ga tau maluu,Netral
@farhanngubabudin2377,semua bumn merugi tidak ada yg untung,Netral
@WawanPakhoy,seharusnya hukuman untuk para koruptor itu di tembak mati di tempat umum supaya rakyat para pejabat bisa melihat hukuman yg sebenarnya,Negatif
@virzharamadhan5633,tk usah gusarlah paling kalian para koruptor akan dihukum enteng aj hidup indonesia gelap,Negatif
@rusyantoyotegal9929,mungkin ilustrasinya begini kalau pt ppn beli bbm yg ron harganya misal tapi yg dibelinya ron atau dg harga kemudian di blending dengan additif zat yg meningkatkan ron utk menjadi ron dg biaya jadi berharga artinya ada selisih dg hrga bbm yg asli ron nah selisihnya ini yg mungkin di bajak oleh maling rakus tsb kira beginilah cara mainnya karena pertamina sdh membantah kalau pertamax yg dijual adalah hasil oplosan dg pertalite tetapi hasil blending dg zat penambah ron klo dicek di lab tentu ron nya menunjukkan angka tapi proses menjadikan itulah ada permainan selisih harga,Netral
@mulyanitentrem6521,rakyat papua kalau dengar ini tambah geram rakyat menderita miskin di tengah gelombang berbagai korupsi di berbagai bidang,Negatif
@rizkyramdhani4366,itu yg punya tompel di kepalanya gue bolongin juga pake bor biar lebih terbuka pemikirannya,Negatif
@Acengselera,serakah haji udah gede ge masih korupsi,Negatif
@Sukirman-x1q,wajah serakah dan serakah nga bisa tenang sudah giliran masuk bui ke nusakambangan,Negatif
@RidwanBegoek,koruptor istilah terlalu sopan buat maling disebut aja mali g duit negara,Negatif
@GobokGobok,kenapa tdk di meskin kan sita semua kekayaannya,Negatif
@Channel-yt5zv,muka koruptor kalau tertangkap dan di sidang ke pengadilan jangan ditutupin pakai masker wooyy jancook buka maskernya,Negatif
@Yudi1922,seharus nya di hukum mati tetanga ku nyuri ayam aja di hukum bulan padahal ayam nya cuman laku ribu,Negatif
@HNSCHANEL-ui2wf,bukan negara yang rugi tapi masyarakat,Negatif
@BambangSutejo-rz7iz,sudah pak keren koq bapak pakai rompi ini foto dulu pak nah kan apa lagi kalau plontos,Negatif
@muriah9021,harusnya yg beginih nih di miskinkan trs di penjara se umur hidup baru negara adil giliran yg nyolong ayam bebek belur,Negatif
@FrionoOngol,gaji sudah besar masih korupsi dasar manusia rakus,Negatif
@intanrahmila6236,rakyat lagi susah dibikin susah sama orang di pertamina kami beli bensin pake barcode pertamax di oplos bego nya sampe kelangit kami rakyat rugi akibat ulah kalian,Negatif
@cepicepotcepicepot,tidak ada hukum mati si bgi koruptor,Negatif
@herlina7046,gajih besar kok masih kurang orang tidak bersyukur akhir nya di penjara,Negatif
@perwiraduta,apakah sop para tahanan memang harus pakai masker para kriminal sebaiknya jgn diberikan pakai masker krn ini bentuk tanggung jawab dan transparansi publik yg punya sop ini siapa,Netral
@irianton4729,perusahaan minyak milik negara rusak bagai mana mau bersaing di tingkat internasional sungguh memalukan,Negatif
@RudyHartojo-vw8ny,gpp jgn kaget lah semua bumn rugi semua rakyat tidak kebagian bumn untungpun tetap saja kepala daerah tentukan upah hanya bulan happy saja,Negatif
@SoegengSoegeng-d6p,konoha nasibmu hancur di gerogoti para korupsi kaciiann,Negatif
@Sangkargapuk,orang mana yg g sakit hati di prank di tipu bertahun beli pertamax malah dapat pertalite udah kualitas bahan kabar jelek harga tinggi masih aja nipu indonesia nama negara rusak rugikan negara dan masyarakat,Negatif
@jokonirboyo8689,telusuri juga kemungkinan aliran dananya kemana saja,Negatif
@Shinta-l7e,ngapain sih maling di suruh make masker malu gitu buka aja ga usah make masker,Negatif
@orokndableg9373,hukuman yg setimpal adalah tersangka di hukum mati keluarga nya istri dan anaknya di miskin kan,Negatif
@nenengnini8752,ponaan siapa yg mengoplos pertamax,Netral
@Sukro-u4l,kembalikan minyak bensin kuning supaya motor tetap awet,Negatif
@Caraka90-qr3vv,doa dri rakyat indonesia utk para koruptor semoga sakaratul mautmu nnti sangat mengerikan susah hidup segan mati tak mau,Negatif
@infopalestine-oo3mq,ada kemarin aku lihat coba deh lihat vidio roky gerung yg kata nya kalo seandainya indonesia bisa jadi negara islam di situlah indonesia akan bisa tentram karna berlaku nya hukum yg seadil adil nya,Netral
@barayudhasinaga9223,dri hati yg palung dln buat pak president tercinta pak prabowo yg sanggup mengungkit kejahatan dan kecurang pt pertamina yg modal warna menaikkan harga trimksh psk prabowoo siksa sampai kuruss indes mereka,Negatif
@GunawanOtomotif,hukum paliing beraat aja,Negatif
@rosdianahutajulu3729,para pejabat beralih profesi menjadi profesi penjahst mantap bangat,Negatif
@josephjoyce1628,bikin petisi hukum mati koruptor,Negatif
@hermansyahherman4420,coba dong dulu siapa orang yg ngomong pertamax dh sesuai ane pemakai pertmax ngerasa pertmax ko boros eh ternyata rezim korup dari laut di pagar pertamamina di korup,Negatif
@hani-le1bn,gila banget wajib di arak di monas dan kalu perlu di gatung di monas,Negatif
@toroorlandachanel6393,yang setuju hukuman mati dan para koruptor ditembak di nusakambangan like,Negatif
@kamunayak471,korupsi uang triliunan rupiah hukumannya lebih ringan daripada makan daging babi kita lihat aja endingnya nanti,Negatif
@sakinaamalia5111,ya korupsi segitu banyaknya orngnya g mkn nasi kaliy mknnya duit kyanya,Negatif
@sakinaamalia5111,sampe kiyamat pemerintah indonesia g bkl brni ada hukuman mati bagi korup karena semua yg korup y pejbt bgmana bisa bikin undng hkm mati abislh pr pejabat,Negatif
@ranggawuni9809,dampak rezim ijasah palsu jangankan duit minyak duit haji saja diembat,Negatif
@Ajunglestari,wah korupsi segitu bisa buat gedung burj khalifa,Netral
@endangsutardi9700,maling lagi pake rompi,Netral
@RumziHayani,yang rugi rakyat yang salah pemerintah sudah lama kejadian baru dibentuk,Negatif
@wargasipilpubg2951,ganteng cocok sm rompinya,Negatif
@revaabidah4753,mumpung negara ada duit usahakan untuk bisa korupsi sebanyak banyaknya dan mumpung juga hukuman masih sgt ringan tapi jgn lupa sy juga diciprati yaa,Negatif
